,Unnamed: 0,url,title,site,pagesize,lan_code,lan_full
33,33,https://fi.wikipedia.org/wiki/Don%E2%80%99t%20Look%20Up,Don’t Look Up,fi.wikipedia.org,5626.0,fi,Finnish
34,34,https://no.wikipedia.org/wiki/Don%E2%80%99t%20Look%20Up,Don’t Look Up,no.wikipedia.org,2774.0,no,Norwegian
35,35,https://en.wikipedia.org/wiki/Alice%20Catherine%20Hughes,Alice Catherine Hughes,en.wikipedia.org,11754.0,en,English
36,36,https://en.wikipedia.org/wiki/Ministry%20of%20Climate%20and%20Environment%20%28Poland%29,Ministry of Climate and Environment (Poland),en.wikipedia.org,6219.0,en,English
37,37,https://it.wikipedia.org/wiki/Ministero%20del%20clima%20e%20dell%27ambiente,Ministero del clima e dell'ambiente,it.wikipedia.org,1526.0,it,Italian
38,38,https://pl.wikipedia.org/wiki/Ministerstwo%20Klimatu%20i%20%C5%9Arodowiska,Ministerstwo Klimatu i Środowiska,pl.wikipedia.org,14569.0,pl,Polish
39,39,https://ar.wikipedia.org/wiki/%D9%88%D8%B2%D8%A7%D8%B1%D8%A9%20%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%20%D9%88%D8%A7%D9%84%D8%A8%D9%8A%D8%A6%D8%A9%20%28%D8%A8%D9%88%D9%84%D9%86%D8%AF%D8%A7%29,وزارة المناخ والبيئة (بولندا),ar.wikipedia.org,1512.0,ar,Arabic
40,40,https://uk.wikipedia.org/wiki/%D0%9C%D1%96%D0%BD%D1%96%D1%81%D1%82%D0%B5%D1%80%D1%81%D1%82%D0%B2%D0%BE%20%D0%BA%D0%BB%D1%96%D0%BC%D0%B0%D1%82%D1%83%20%D1%82%D0%B0%20%D0%BD%D0%B0%D0%B2%D0%BA%D0%BE%D0%BB%D0%B8%D1%88%D0%BD%D1%8C%D0%BE%D0%B3%D0%BE%20%D1%81%D0%B5%D1%80%D0%B5%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B0%20%D0%9F%D0%BE%D0%BB%D1%8C%D1%89%D1%96,Міністерство клімату та навколишнього середовища Польщі,uk.wikipedia.org,15949.0,uk,Ukrainian
41,41,https://en.wikipedia.org/wiki/Kyle%20Armour,Kyle Armour,en.wikipedia.org,8040.0,en,English
42,42,https://en.wikipedia.org/wiki/Billy%20Fleming%20%28landscape%20architect%29,Billy Fleming (landscape architect),en.wikipedia.org,14180.0,en,English
43,43,https://en.wikipedia.org/wiki/Dave%20Lowe%20%28atmospheric%20scientist%29,Dave Lowe (atmospheric scientist),en.wikipedia.org,39025.0,en,English
44,44,https://en.wikipedia.org/wiki/Short-haul%20flight%20ban,Short-haul flight ban,en.wikipedia.org,56455.0,en,English
45,45,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D1%80%D0%B5%D1%82%20%D0%B0%D0%B2%D0%B8%D0%B0%D1%80%D0%B5%D0%B9%D1%81%D0%BE%D0%B2%20%D0%BD%D0%B0%20%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D0%B5%20%D1%80%D0%B0%D1%81%D1%81%D1%82%D0%BE%D1%8F%D0%BD%D0%B8%D1%8F,Запрет авиарейсов на короткие расстояния,ru.wikipedia.org,9175.0,ru,Russian
46,46,https://nl.wikipedia.org/wiki/Verbod%20op%20korte%20vluchten,Verbod op korte vluchten,nl.wikipedia.org,55822.0,nl,Dutch
47,47,https://en.wikipedia.org/wiki/Klima%20Action%20Malaysia,Klima Action Malaysia,en.wikipedia.org,5163.0,en,English
